id,kota,jalan,lat,lng,jumlah_kecelakaan,rata_severity,pagerank,komunitas,degree
Los Angeles|Venice Blvd,Los Angeles,Venice Blvd,34.0307,-118.3632,212,2.646,2.348,386547056703,110
Los Angeles|I-405 N,Los Angeles,I-405 N,34.0408,-118.4372,5406,2.535,2.3393,532575944751,106
Los Angeles|San Diego Fwy S,Los Angeles,San Diego Fwy S,34.0516,-118.4445,1547,2.462,2.3393,532575944751,106
Los Angeles|I-405 S,Los Angeles,I-405 S,34.0507,-118.4459,2784,2.28,2.3393,532575944751,106
Hayward|I-880 S,Hayward,I-880 S,37.6456,-122.0941,2311,2.226,2.3376,300647710755,74
Whittier|I-605 S,Whittier,I-605 S,34.0061,-118.0558,3733,2.248,2.3302,60129542300,84
Van Nuys|I-405 S,Van Nuys,I-405 S,34.1947,-118.4724,1175,2.18,2.3243,523986010150,76
Merced|CA-99,Merced,CA-99,37.284,-120.4632,168,2.03,2.3233,352187318273,30
San Diego|CA-15 S,San Diego,CA-15 S,32.7371,-117.1139,1189,2.055,2.3213,249108103273,104
Madera| Highway 145,Madera, Highway 145,36.9549,-119.9928,117,2.009,2.3196,489626271817,28
Oakland|I-880,Oakland,I-880,37.7728,-122.2365,336,2.226,2.3193,163208757340,80
Los Angeles|E Washington Blvd,Los Angeles,E Washington Blvd,33.997,-118.151,364,2.665,2.3182,369367187461,88
Marysville|CA-70,Marysville,CA-70,39.1144,-121.5634,66,2.061,2.3171,171798691917,44
San Rafael|US-101 S,San Rafael,US-101 S,37.9976,-122.5306,360,2.072,2.3165,369367187574,48
San Rafael|Redwood Hwy,San Rafael,Redwood Hwy,37.9936,-122.5286,1527,1.995,2.3165,369367187574,48
San Rafael|US-101,San Rafael,US-101,37.983,-122.5216,142,1.993,2.3165,369367187574,48
Los Angeles|CA-134 W,Los Angeles,CA-134 W,34.1528,-118.2781,1088,2.054,2.3127,171798691903,88
Los Angeles|CA-134 E,Los Angeles,CA-134 E,34.1517,-118.2746,1004,2.095,2.3127,171798691903,88
San Jose|Norman Y Mineta Hwy,San Jose,Norman Y Mineta Hwy,37.2551,-121.895,594,2.024,2.309,257698037905,68
San Jose|CA-85 S,San Jose,CA-85 S,37.2542,-121.8898,1124,2.028,2.309,257698037905,68
Sacramento|Roseville Rd,Sacramento,Roseville Rd,38.6867,-121.3502,74,2.0,2.3061,249108103270,88
La Puente| E Valley Blvd,La Puente, E Valley Blvd,34.0162,-117.9289,74,2.0,2.3042,403726925878,84
Winchester|Winchester Rd,Winchester,Winchester Rd,33.6754,-117.0896,253,2.016,2.3011,120259084458,32
